,recipe,ingredients,prep_time_in_mins,cook_time_in_mins,recipe_link
42,amla-pickle,"amla,mustard,methi seeds,salt,oil,lemon,red chilli powder,turmeric,garlic clove",8,7,https://www.indianhealthyrecipes.com/amla-pickle-recipe/
43,aval-laddu-poha-ladoo,"poha,jaggery,green cardamoms,desiccated coconut,ghee ,cashews,raisins",7,8,https://www.indianhealthyrecipes.com/aval-laddu-recipe-poha-ladoo-recipe/
44,atta-ladoo-wheat-flour-laddu,"atta,sugar,ghee,almonds & cashews,cardamom powder",5,10,https://www.indianhealthyrecipes.com/atta-ladoo-recipe-wheat-flour-laddu/
45,aval-upma-poha-upma,"poha,onion,tomato ,green chilies,coconut ,coriander leaves,salt ,turmeric,lemon juice,oil,curry leaves,mustard seeds,cumin seeds,peanuts,urad dal,chana dal,asafoetida ",4,11,https://www.indianhealthyrecipes.com/aval-upma-poha-upma/
46,andhra-tomato-pickle-nilava-tomato-pachadi,"tomatoes,red chili powder,turmeric ,tamarind,garlic,methi seeds,mustard seeds,oil,salt,curry leaves,dried red chilli,hing",20,20,https://www.indianhealthyrecipes.com/andhra-tomato-pickle-nilava-tomato-pachadi/
47,beetroot-curry,"beetroot,coconut ,turmeric,salt,ghee,mustard seeds,cumin seeds,curry leaves,asafoetida,green chili,red chili,garlic,skinned black gram,bengal gram,sesame seeds",6,15,https://www.indianhealthyrecipes.com/beetroot-curry/
48,bread-vada,"bread,carrots,onions,green chili ,red chilli,garam masala,salt,mint leaves,coriander leaves,ginger,cumin seeds,rice flour,water,oil",10,10,https://www.indianhealthyrecipes.com/bread-vada-recipe/
49,brinjal-curry-vankaya-kura,"brinjal,oil,mustard seeds,cumin seeds,curry leaves,onions,green chili,tomato,ginger garlic paste,red chili powder ,turmeric,salt ,garam masala,coriander leaves",15,15,https://www.indianhealthyrecipes.com/brinjal-curry-recipe-vankaya-kura-recipe/
50,bottle-gourd-stir-fry-sorakaya-fry-vegetable-stir-fry,"bottle gourd,green chilies,curry leaves,mustard seeds,cumin seeds,turmeric,Oil,chana dal,urad dal ,salt,Coconut,urad dal,white sesame seeds,dried coconut,dried red chilies,garlic cloves",7,13,https://www.indianhealthyrecipes.com/bottle-gourd-stir-fry-sorakaya-fry-vegetable-stir-fry-recipe/
51,carrot-fry-carrot-curry,"carrots,green peas,oil,cumin seeds,mustard seeds,curry leaves,ginger,garlic,green chilies,salt,onion,tomatoes,turmeric,Kashmiri red chilli powder,garam masala,coriander powder,cumin powder,Kasuri methi,water,coconut milk",7,13,https://www.indianhealthyrecipes.com/carrot-fry-carrot-curry-recipe/
52,beans-carrot-curry-beans-carrot-stir-fry,"oil,cumin,mustard,hing,onions,tomatoes,curry leaves,salt,turmeric,french beans,carrot,garam masala,coriander powder,red chili powder,coriander leaves",10,25,https://www.indianhealthyrecipes.com/beans-carrot-curry-beans-carrot-stir-fry/
53,beans-poriyal-beans-stir-fry,"green beans,coconut,chilli powder,oil,mustard seeds,urad dal,chana dal,hing,red chilli,curry leaves,turmeric,salt",10,15,https://www.indianhealthyrecipes.com/beans-poriyal-recipe-beans-stir-fry/
54,cabbage-curry,"oil,cumin seeds,mustard,ginger ,onions,tomatoes,salt ,turmeric,red chili powder,garam masala ,green peas ,cabbage,coriander leaves",10,20,https://www.indianhealthyrecipes.com/cabbage-curry-recipe/
55,veg-biryani-plain-biryani-kuska-rice,"rice ,water,Oil,onion,ginger garlic paste,tomato,Salt,mint leaves,curd,Turmeric,red chili powder,biryani masala powder ,bay leaf,cloves,green cardamoms,star anise,shahi jeera,mace,cinnamon",5,30,https://www.indianhealthyrecipes.com/veg-biryani-recipe-plain-biryani-kuska-rice-recipe/
56,cabbage-kootu,"dal,cabbage,dry tamarind,salt,turmeric,coconut,dried red chilies,cumin seeds,chana dal,ghee,curry leaves,mustard seeds,hing",10,40,https://www.indianhealthyrecipes.com/cabbage-kootu-recipe/
57,cheese-dosa,"dosa batter,onion,green chilies,red chutney,coriander leaves,oil,mozzarella cheese",5,15,https://www.indianhealthyrecipes.com/cheese-dosa-recipe/
58,beetroot-salad,"beetroot,moong dal,coconut,green chilies,Lemon juice,salt,coriander leaves,carrot,radish,cucumber,onions",5,1minute,https://www.indianhealthyrecipes.com/beetroot-salad/
59,coconut-burfi-coconut-barfi,"coconut,sugar,ghee ,cardamom powder,cashews ,milk,desiccated coconut,condensed milk,mawa,ghee,pistachios or almonds",2,15,https://www.indianhealthyrecipes.com/coconut-burfi-recipe-coconut-barfi/
60,south-indians-foodpage2,,2,15,https://www.indianhealthyrecipes.com/recipes/south-indian-recipes-food/page/2/
61,south-indians-foodpage3,,2,15,https://www.indianhealthyrecipes.com/recipes/south-indian-recipes-food/page/3/
62,south-indians-foodpage5,,2,15,https://www.indianhealthyrecipes.com/recipes/south-indian-recipes-food/page/5/
63,indian-breakfast,,2,15,https://www.indianhealthyrecipes.com/recipes/indian-breakfast/
64,snacks,,2,15,https://www.indianhealthyrecipes.com/recipes/snacks/
65,rices,,2,15,https://www.indianhealthyrecipes.com/rice-recipes/
66,veg-curry,,2,15,https://www.indianhealthyrecipes.com/recipes/veg-curry/
67,cakes,,2,15,https://www.indianhealthyrecipes.com/recipes/cake-recipes/
68,chickens,,2,15,https://www.indianhealthyrecipes.com/recipes/chicken-recipes/
69,gobi-manchurian,"cauliflower,Oil,all-purpose flour,cornstarch,red chilli powder,black pepper,salt,water,oil,garlic,ginger,green chili,onions,bell pepper ,soya sauce,Red Chilli sauce,tomato ketchup,Red chili powder,rice vinegar,sugar,spring onion greens",10,25,https://www.indianhealthyrecipes.com/gobi-manchurian-recipe/
70,upma-how-to-make-upma,"semolina,oil,mustard seeds,cumin seeds,urad dal,chana dal,peanuts,cashews,curry leaves,asafoetida,onion,green chili,ginger,water,salt,ghee,lemon juice (optional)",5,15,https://www.indianhealthyrecipes.com/upma-recipe-how-to-make-upma/
71,jalebi,"all-purpose flour,corn flour,turmeric,curd,water,baking soda ,lemon juice,oil or ghee,sugar,saffron,cardamom powder,sauce bottle",10,20,https://www.indianhealthyrecipes.com/jalebi-recipe/
72,rasgulla-bengali-rasgulla-easy-diwali-sweet,"milk,lemon juice,ice water,refined white sugar ,water,green cardamom pods,rose water,saffron stands ",25,15,https://www.indianhealthyrecipes.com/rasgulla-recipe-bengali-rasgulla-recipe-easy-diwali-sweet-recipe/
73,rasmalai-easy-rasmalai-in-10-mins-diwalis,"milk,lemon juice ,ice water ,refined white sugar,water,cardamom powder ,sugar,saffron,pista ",10,15,https://www.indianhealthyrecipes.com/rasmalai-recipe-easy-rasmalai-in-10-mins-diwali-recipes/
74,gulab-jamun-using-milk-powder,"milk powder,all-purpose flour ,ghee,ghee ,milk,curd,Baking soda,Ghee,pistachios,Sugar,water,green cardamom ,rose water",10,20,https://www.indianhealthyrecipes.com/gulab-jamun-recipe-using-milk-powder/
75,besan-ladoo-besan-laddu,"besan,ghee,sugar,green cardamom powder,cashews",5,35,https://www.indianhealthyrecipes.com/besan-ladoo-recipe-besan-laddu/
76,kaju-katli-kaju-barfi,"cashew nuts,water,sugar,rose water,ghee",15,15,https://www.indianhealthyrecipes.com/kaju-katli-kaju-barfi/
77,rava-ladoo-rava-laddu,"rava,sugar,desiccated coconut,ghee,cardamom powder,raisins,cashews",15,5,https://www.indianhealthyrecipes.com/rava-ladoo-recipe-rava-laddu/
78,moong-dal-halwa,"moong dal,ghee,suji,water,milk or water,saffron strands ,sugar,cardamom powder,almonds,pistachios",5,45,https://www.indianhealthyrecipes.com/moong-dal-halwa/
79,indian-dinners,"rolled oats,coconut,oil,mustard,cumin,urad dal,chana dal,peanuts,curry leaves,ginger,green chilies,salt,lemon juice,coriander leaves,asafoetida",7,8,https://www.indianhealthyrecipes.com/indian-dinner-recipes/
80,sandwichs,,7,8,https://www.indianhealthyrecipes.com/sandwich-recipes/
81,ragis-ragi-flours,,7,8,https://www.indianhealthyrecipes.com/ragi-recipes-ragi-flour-recipes/
82,oatss-oatmeals,,7,8,https://www.indianhealthyrecipes.com/oats-recipes-oatmeal-recipes/
83,https:www.indianhealthy.com,,7,8,https://www.indianhealthyrecipes.com
84,baby-toddler?utm_source=Menu&utm_medium=Mobile&utm_campaign=Popular,,7,8,https://www.indianhealthyrecipes.com/recipes/baby-toddler/?utm_source=Menu&utm_medium=Mobile&utm_campaign=Popular
85,matar-paneer-mutter-masala?utm_source=Menu&utm_medium=Mobile&utm_campaign=Popular,"oil,green cardamoms,garlic ,ginger ,onions ,tomatoes,cashewnuts,salt,curd,cinnamon,bay leaf,turmeric,Kashmiri red chili powder ,garam masala,coriander powder,sugar,green peas,water,green chili,paneer,kasuri methi,coriander leaves,cream",10,35,https://www.indianhealthyrecipes.com/matar-paneer-mutter-masala/?utm_source=Menu&utm_medium=Mobile&utm_campaign=Popular
86,butter-chicken?utm_source=Menu&utm_medium=Mobile&utm_campaign=Popular,"boneless chicken,Kashmiri red chili powder,salt,lemon juice,Greek yogurt ,ginger garlic paste,turmeric ,garam masala ,cumin powder ,coriander powder ,kasuri methi ,oil,butter ,cinnamon,green cardamoms,cloves,fresh tomato puree,green chilies,cashews,water ,Kashmiri chili powder ,cumin powder,sugar,Kasuri methi ,hot water,heavy cream,coriander leaves",15,30,https://www.indianhealthyrecipes.com/butter-chicken/?utm_source=Menu&utm_medium=Mobile&utm_campaign=Popular
87,chana-masala?utm_source=Menu&utm_medium=Mobile&utm_campaign=Popular,"chana,water,oil ,bay leaf,cinnamon ,cloves,green cardamoms,onions,green chili ,ginger garlic paste,tomatoes,salt,turmeric,Kashmiri red chili powder,garam masala ,coriander powder,cumin powder,kasuri methi,amchur ,coriander leaves",10,40,https://www.indianhealthyrecipes.com/chana-masala/?utm_source=Menu&utm_medium=Mobile&utm_campaign=Popular
88,dal-makhani?utm_source=Menu&utm_medium=Mobile&utm_campaign=Popular,"whole black lentil,rajma ,water,unsalted butter,ghee,onion,ginger garlic paste,tomato puree,salt,red chilli powder,garam masala,kasuri methi,cream,bay leaf,green cardamoms,black cardamom",10,40,https://www.indianhealthyrecipes.com/dal-makhani-recipe/?utm_source=Menu&utm_medium=Mobile&utm_campaign=Popular
89,gobi-manchurian?utm_source=Menu&utm_medium=Mobile&utm_campaign=Popular,"cauliflower,Oil,all-purpose flour,cornstarch,red chilli powder,black pepper,salt,water,oil,garlic,ginger,green chili,onions,bell pepper ,soya sauce,Red Chilli sauce,tomato ketchup,Red chili powder,rice vinegar,sugar,spring onion greens",10,25,https://www.indianhealthyrecipes.com/gobi-manchurian-recipe/?utm_source=Menu&utm_medium=Mobile&utm_campaign=Popular
90,chicken-tikka-masala?utm_source=Menu&utm_medium=Mobile&utm_campaign=Popular,"chicken boneless,Greek yogurt,Kashmiri red chili powder,garam masala,turmeric,coriander powder,cumin powder,salt,lemon juice,kasuri methi,ginger garlic paste,oil,onions ,green chilli,sugar,fresh tomatoes,hot water,heavy cream/whipping cream,heavy cream,coriander leaves",20,40,https://www.indianhealthyrecipes.com/chicken-tikka-masala/?utm_source=Menu&utm_medium=Mobile&utm_campaign=Popular
91,capsicum-rice-capsicum-pulao,"uncooked rice ,oil ,onion,green chili ,ginger garlic paste,green peas,capsicums,coriander leaves,mint leaves,salt,lemon juice,curry leaves,cumin,garam masala,red chili powder,turmeric,whole spices",10,25,https://www.indianhealthyrecipes.com/capsicum-rice-recipe-capsicum-pulao/
92,cabbage-pakora-cabbage-pakoda,"cabbage shredded,onions ,Salt as needed,besan or gram flour or senagapindi,rice flour or chawal ka atta,ginger garlic paste,ajwain or carom seeds,Green chilies chopped,Handful of coriander leaves chopped finely,small sprig of curry leaves chopped finely,Oil for deep frying",10,15,https://www.indianhealthyrecipes.com/cabbage-pakora-recipe-cabbage-pakoda/
93,carrot-rice,"basmati rice,oil,bay leaf,cumin seeds,green cardamoms,cinnamon piece,onion,ginger garlic paste,carrots,coriander leaves,garam masala,red chili powder,cashews,salt,lemon juice",10,25,https://www.indianhealthyrecipes.com/carrot-rice-recipe/
94,cauliflower-pakoda-gobi-pakora-gobis,"cauliflower,curry leaves,green chilies ,ginger garlic paste,ajwain,red chili powder,garam masala,besan,rice flour,salt,turmeric,water,oil",10,15,https://www.indianhealthyrecipes.com/cauliflower-pakoda-gobi-pakora-recipe-gobi-recipes/
95,capsicum-chutney,"capsicum,onions,red chilies,chana dal,urad dal,cumin,garlic,salt,lemon juice,curry leaves,hing,red chili,mustard,coconut,Roasted gram,ginger,Salt,Green chilies",4,6,https://www.indianhealthyrecipes.com/capsicum-chutney-recipe/
96,capsicum-masala-gravy,"capsicum,Oil,onions,onion ,tomatoes,red chili powder,kasuri methi ,curry leaves,cumin seeds,green cardamoms,green chili ,ginger garlic paste,salt,peanuts  ,desiccated coconut,white sesame seeds,garam masala,coriander powder,coriander leaves",10,20,https://www.indianhealthyrecipes.com/capsicum-masala-gravy/
97,curd-rice,"rice ,water,curd,salt,carrot,cucumber,coriander leaves,oil,mustard seeds,cumin seeds,chana dal ,urad dal,dried red chilli,curry leaves,hing,ginger,green chili,roasted cashews",5,30,https://www.indianhealthyrecipes.com/curd-rice-recipe/
98,coconut-ladoo-coconut-laddu,"grated coconut,cardamom powder,cashews,ghee,sugar,milk,desiccated coconut,condensed milk,coconut,grated jaggery",15,15,https://www.indianhealthyrecipes.com/coconut-ladoo-recipe-coconut-laddu/
99,lentil-rice,"rice,chana dal,water,carrot , onion,green chili,ginger garlic paste,pudina,bay leaf,cumin,star anise,mace,green cardamoms,cinnamon,oil,salt,lemon juice,coriander leaves",20,20,https://www.indianhealthyrecipes.com/lentil-rice/
100,cauliflower-pickle-cauliflower-avakaya-step-by-step-pics,"Cauliflower,Mustard seeds,Fenugreek seeds,lemons,Red chili powder,peanut oil,Turmeric powder,Salt,Garlic cloves",40,10,https://www.indianhealthyrecipes.com/cauliflower-pickle-cauliflower-avakaya-recipe-step-by-step-pics/
101,beetroot-chutney,"beetroot,green chilies,red chilies,curry leaves,cumin seeds,garlic,chana dal,urad dal,salt as needed,oil,lemon juice or tamarind paste as needed",2,6,https://www.indianhealthyrecipes.com/beetroot-chutney-recipe/
102,chicken-65-no-egg-restaurant-style-chickens,"chicken ,ginger garlic paste,salt,Kashmiri red chili powder,turmeric,garam masala,curry leaves ,curd ,lemon juice,cornstarch,rice flour,egg white ,Oil ,Curry leaves,green chilies ,chopped garlic ,garlic paste ,Kashmiri red chili powder ,sugar,lemon juice or vinegar (optional, or 4 tablespoons thick yogurt),water (leave out if using yogurt to temper),salt ,ground black pepper ",15,15,https://www.indianhealthyrecipes.com/chicken-65-recipe-no-egg-restaurant-style-chicken-recipes/
103,carrot-pickle-gajar-ka-achar,"carrot,salt,oil,ginger,turmeric,methi seeds,mustard seeds,Kashmiri red chili powder,lemon juice",7,1minute,https://www.indianhealthyrecipes.com/carrot-pickle-recipe-gajar-ka-achar/
104,carrot-poriyal,"carrot,oil,mustard seeds,urad dal,chana dal,dried red chili,asafoetida,curry leaves,green chilies,fine chopped ginger,turmeric,salt,grated coconut",10,10,https://www.indianhealthyrecipes.com/carrot-poriyal-recipe/
105,broken-wheat-upma-veg-dalia-in-pressure-cooker,"broken wheat,water,onion,green peas,carrot,potato,green chillies,curry leaves,asafoetida ,turmeric,mustard,jeera,Salt to taste,oil",5,25,https://www.indianhealthyrecipes.com/broken-wheat-upma-veg-dalia-in-pressure-cooker/
106,carrot-chutney,"carrots ,green chilies,curry leaves,fresh ginger,garlic ,chana dal ,urad dal,dried red chilies,cumin seeds,oil ,salt,turmeric,lemon juice,oil,mustard seeds,sprig curry leaves,dried red chili broken,hing",10,15,https://www.indianhealthyrecipes.com/carrot-chutney-recipe/
107,andhra-chicken-curry-kodi-kura-with-step-by-step-pictures,"chicken,red chili powder,onions,green chili,ginger garlic paste,Oil,tomato,mint leaves,Poppy seeds,Coconut,turmeric,Salt,lemon juice,bay leaf,cloves,cardamom,cinnamon stick,shahi jeera,Coriander seeds,Cinnamon,Cloves,jeera,pepper corn",15,25,https://www.indianhealthyrecipes.com/andhra-chicken-curry-recipe-kodi-kura-with-step-by-step-pictures/
